SUBJ_ID	#TRIAL_FLOW	trial_counter	ReliefChoiceUS	ReliefUS	T.CSM	T.CS_EE	T.CS_UU	shock
RS11	Pavlovian_phase	7	1	0	0	1	0	1
RS11	Pavlovian_phase	8	2	66	1	0	0	0
RS11	Pavlovian_phase	9	2	75	0	0	1	0
RS11	Pavlovian_phase	10	2	75	0	0	1	0
RS11	Pavlovian_phase	11	2	72	1	0	0	0
RS11	Pavlovian_phase	12	2	72	0	0	1	0
RS11	Pavlovian_phase	13	2	73	0	0	1	0
RS11	Pavlovian_phase	14	1	0	0	1	0	1
RS11	Pavlovian_phase	15	2	84	0	0	1	0
RS11	Pavlovian_phase	16	1	0	0	1	0	1
RS11	Pavlovian_phase	17	1	0	0	1	0	1
RS11	Pavlovian_phase	18	2	79	1	0	0	0
RS11	Pavlovian_phase	19	2	75	0	0	1	0
RS11	Pavlovian_phase	20	1	0	0	1	0	1
RS11	Pavlovian_phase	21	1	0	0	1	0	1
RS11	Pavlovian_phase	22	2	80	1	0	0	0
RS11	Pavlovian_phase	23	2	69	0	0	1	0
RS11	Pavlovian_phase	24	1	0	0	1	0	1
RS11	Pavlovian_phase	25	1	0	0	1	0	1
RS11	Pavlovian_phase	26	2	76	0	0	1	0
RS11	Pavlovian_phase	27	2	73	1	0	0	0
RS11	Pavlovian_phase	28	1	0	0	1	0	1
RS11	Extinction_phase	29	2	98	0	1	0	0
RS11	Extinction_phase	30	2	93	1	0	0	0
RS11	Extinction_phase	31	2	59	1	0	0	0
RS11	Extinction_phase	32	2	59	0	1	0	0
RS11	Extinction_phase	33	2	61	0	1	0	0
RS11	Extinction_phase	34	2	98	0	0	1	0
RS11	Extinction_phase	35	2	80	0	0	1	0
RS11	Extinction_phase	36	2	72	0	1	0	0
RS11	Extinction_phase	37	2	76	0	1	0	0
RS11	Extinction_phase	38	2	82	0	0	1	0
